#    L    TT             EE             BB             TE          
   202   0.562512E+04   0.687194E+00   0.142654E-01  -0.137829E+02
   203   0.563685E+04   0.687703E+00   0.144222E-01  -0.124943E+02
   204   0.564791E+04   0.689105E+00   0.145791E-01  -0.111865E+02
   205   0.565844E+04   0.691444E+00   0.147375E-01  -0.985743E+01
   206   0.566831E+04   0.694759E+00   0.148959E-01  -0.850826E+01
   207   0.567765E+04   0.699072E+00   0.150558E-01  -0.713946E+01
   208   0.568625E+04   0.704436E+00   0.152156E-01  -0.575156E+01
   209   0.569425E+04   0.710872E+00   0.153769E-01  -0.434492E+01
   210   0.570165E+04   0.718435E+00   0.155381E-01  -0.292043E+01
   211   0.570846E+04   0.727153E+00   0.157008E-01  -0.147816E+01
   212   0.571452E+04   0.737057E+00   0.158633E-01  -0.190372E-01
   213   0.572005E+04   0.748190E+00   0.160273E-01   0.145698E+01
   214   0.572491E+04   0.760549E+00   0.161911E-01   0.294869E+01
   215   0.572917E+04   0.774322E+00   0.163563E-01   0.445536E+01
   216   0.573275E+04   0.789329E+00   0.165213E-01   0.597750E+01
   217   0.573581E+04   0.805722E+00   0.166877E-01   0.751311E+01
   218   0.573820E+04   0.823504E+00   0.168538E-01   0.906242E+01
   219   0.573998E+04   0.842675E+00   0.170213E-01   0.106264E+02
   220   0.574116E+04   0.863383E+00   0.171885E-01   0.122005E+02
   221   0.574174E+04   0.885553E+00   0.173570E-01   0.137872E+02
   222   0.574172E+04   0.909336E+00   0.175252E-01   0.153847E+02
   223   0.574094E+04   0.934656E+00   0.176947E-01   0.169940E+02
   224   0.573971E+04   0.961515E+00   0.178639E-01   0.186112E+02
   225   0.573781E+04   0.990060E+00   0.180342E-01   0.202394E+02
   226   0.573529E+04   0.102029E+01   0.182042E-01   0.218749E+02
   227   0.573211E+04   0.105221E+01   0.183754E-01   0.235190E+02
   228   0.572839E+04   0.108582E+01   0.185462E-01   0.251705E+02
   229   0.572406E+04   0.112119E+01   0.187182E-01   0.268277E+02
   230   0.571906E+04   0.115832E+01   0.188896E-01   0.284914E+02
   231   0.571337E+04   0.119729E+01   0.190622E-01   0.301609E+02
   232   0.570716E+04   0.123802E+01   0.192343E-01   0.318347E+02
   233   0.570034E+04   0.128074E+01   0.194076E-01   0.335114E+02
   234   0.569276E+04   0.132529E+01   0.195802E-01   0.351916E+02
   235   0.568465E+04   0.137176E+01   0.197539E-01   0.368738E+02
   236   0.567586E+04   0.142013E+01   0.199270E-01   0.385582E+02
   237   0.566647E+04   0.147050E+01   0.201012E-01   0.402431E+02
   238   0.565646E+04   0.152292E+01   0.202747E-01   0.419287E+02
   239   0.564592E+04   0.157725E+01   0.204493E-01   0.436141E+02
   240   0.563463E+04   0.163358E+01   0.206230E-01   0.452972E+02
   241   0.562287E+04   0.169203E+01   0.207979E-01   0.469787E+02
   242   0.561050E+04   0.175248E+01   0.209719E-01   0.486578E+02
   243   0.559753E+04   0.181506E+01   0.211470E-01   0.503331E+02
   244   0.558394E+04   0.187970E+01   0.213211E-01   0.520054E+02
   245   0.556975E+04   0.194647E+01   0.214963E-01   0.536716E+02
   246   0.555501E+04   0.201538E+01   0.216705E-01   0.553333E+02
   247   0.553974E+04   0.208636E+01   0.218458E-01   0.569881E+02
   248   0.552386E+04   0.215976E+01   0.220200E-01   0.586363E+02
   249   0.550752E+04   0.223508E+01   0.221952E-01   0.602769E+02
   250   0.549056E+04   0.231276E+01   0.223693E-01   0.619086E+02
   251   0.547313E+04   0.239250E+01   0.225444E-01   0.635320E+02
   252   0.545503E+04   0.247452E+01   0.227184E-01   0.651457E+02
   253   0.543660E+04   0.255861E+01   0.228933E-01   0.667481E+02
   254   0.541756E+04   0.264506E+01   0.230670E-01   0.683394E+02
   255   0.539799E+04   0.273358E+01   0.232417E-01   0.699193E+02
   256   0.537795E+04   0.282454E+01   0.234151E-01   0.714880E+02
   257   0.535745E+04   0.291750E+01   0.235894E-01   0.730373E+02
   258   0.533641E+04   0.301282E+01   0.237624E-01   0.745797E+02
   259   0.531491E+04   0.311036E+01   0.239363E-01   0.761005E+02
   260   0.529301E+04   0.321012E+01   0.241089E-01   0.776143E+02
   261   0.527059E+04   0.331204E+01   0.242823E-01   0.790991E+02
   262   0.524762E+04   0.341632E+01   0.244543E-01   0.805769E+02
   263   0.522449E+04   0.352276E+01   0.246271E-01   0.820403E+02
   264   0.520075E+04   0.363142E+01   0.247985E-01   0.834820E+02
   265   0.517648E+04   0.374224E+01   0.249708E-01   0.848947E+02
   266   0.515189E+04   0.385543E+01   0.251415E-01   0.863003E+02
   267   0.512677E+04   0.397063E+01   0.253130E-01   0.876768E+02
   268   0.510126E+04   0.408822E+01   0.254830E-01   0.890387E+02
   269   0.507521E+04   0.420788E+01   0.256538E-01   0.903789E+02
   270   0.504893E+04   0.432971E+01   0.258230E-01   0.916973E+02
   271   0.502219E+04   0.445363E+01   0.259929E-01   0.929937E+02
   272   0.499520E+04   0.457992E+01   0.261612E-01   0.942610E+02
   273   0.496776E+04   0.470802E+01   0.263303E-01   0.955137E+02
   274   0.494001E+04   0.483850E+01   0.264977E-01   0.967299E+02
   275   0.491187E+04   0.497085E+01   0.266658E-01   0.979315E+02
   276   0.488349E+04   0.510530E+01   0.268322E-01   0.990965E+02
   277   0.485465E+04   0.524184E+01   0.269994E-01   0.100247E+03
   278   0.482558E+04   0.538040E+01   0.271647E-01   0.101361E+03
   279   0.479620E+04   0.552091E+01   0.273308E-01   0.102445E+03
   280   0.476650E+04   0.566338E+01   0.274951E-01   0.103515E+03
   281   0.473664E+04   0.580787E+01   0.276601E-01   0.104548E+03
   282   0.470633E+04   0.595410E+01   0.278232E-01   0.105551E+03
   283   0.467585E+04   0.610227E+01   0.279870E-01   0.106526E+03
   284   0.464513E+04   0.625234E+01   0.281490E-01   0.107471E+03
   285   0.461418E+04   0.640428E+01   0.283116E-01   0.108386E+03
   286   0.458292E+04   0.655796E+01   0.284724E-01   0.109265E+03
   287   0.455143E+04   0.671338E+01   0.286338E-01   0.110121E+03
   288   0.451977E+04   0.687054E+01   0.287932E-01   0.110941E+03
   289   0.448788E+04   0.702937E+01   0.289534E-01   0.111731E+03
   290   0.445582E+04   0.718972E+01   0.291116E-01   0.112492E+03
   291   0.442361E+04   0.735233E+01   0.292705E-01   0.113209E+03
   292   0.439094E+04   0.751609E+01   0.294273E-01   0.113903E+03
   293   0.435840E+04   0.768065E+01   0.295848E-01   0.114554E+03
   294   0.432556E+04   0.784747E+01   0.297403E-01   0.115182E+03
   295   0.429277E+04   0.801508E+01   0.298965E-01   0.115766E+03
   296   0.425968E+04   0.818495E+01   0.300506E-01   0.116320E+03
   297   0.422651E+04   0.835489E+01   0.302054E-01   0.116845E+03
   298   0.419310E+04   0.852709E+01   0.303581E-01   0.117325E+03
   299   0.415967E+04   0.870081E+01   0.305116E-01   0.117769E+03
   300   0.412609E+04   0.887462E+01   0.306629E-01   0.118175E+03
   301   0.409243E+04   0.904995E+01   0.308149E-01   0.118552E+03
   302   0.405875E+04   0.922609E+01   0.309647E-01   0.118899E+03
   303   0.402498E+04   0.940376E+01   0.311154E-01   0.119202E+03
   304   0.399114E+04   0.958295E+01   0.312638E-01   0.119461E+03
   305   0.395728E+04   0.976222E+01   0.314130E-01   0.119690E+03
   306   0.392333E+04   0.994229E+01   0.315600E-01   0.119882E+03
   307   0.388938E+04   0.101232E+02   0.317078E-01   0.120029E+03
   308   0.385542E+04   0.103063E+02   0.318533E-01   0.120154E+03
   309   0.382152E+04   0.104887E+02   0.319997E-01   0.120228E+03
   310   0.378753E+04   0.106713E+02   0.321438E-01   0.120271E+03
   311   0.375361E+04   0.108560E+02   0.322887E-01   0.120270E+03
   312   0.371976E+04   0.110401E+02   0.324314E-01   0.120239E+03
   313   0.368589E+04   0.112251E+02   0.325749E-01   0.120164E+03
   314   0.365209E+04   0.114108E+02   0.327162E-01   0.120058E+03
   315   0.361836E+04   0.115958E+02   0.328584E-01   0.119908E+03
   316   0.358469E+04   0.117816E+02   0.329982E-01   0.119721E+03
   317   0.355108E+04   0.119668E+02   0.331390E-01   0.119497E+03
   318   0.351754E+04   0.121535E+02   0.332775E-01   0.119235E+03
   319   0.348414E+04   0.123395E+02   0.334170E-01   0.118936E+03
   320   0.345088E+04   0.125256E+02   0.335541E-01   0.118607E+03
   321   0.341769E+04   0.127124E+02   0.336922E-01   0.118233E+03
   322   0.338463E+04   0.128979E+02   0.338280E-01   0.117822E+03
   323   0.335172E+04   0.130834E+02   0.339648E-01   0.117374E+03
   324   0.331894E+04   0.132697E+02   0.340993E-01   0.116881E+03
   325   0.328638E+04   0.134532E+02   0.342349E-01   0.116365E+03
   326   0.325389E+04   0.136382E+02   0.343681E-01   0.115797E+03
   327   0.322161E+04   0.138225E+02   0.345025E-01   0.115199E+03
   328   0.318954E+04   0.140054E+02   0.346345E-01   0.114571E+03
   329   0.315762E+04   0.141883E+02   0.347677E-01   0.113898E+03
   330   0.312591E+04   0.143699E+02   0.348985E-01   0.113187E+03
   331   0.309449E+04   0.145508E+02   0.350306E-01   0.112446E+03
   332   0.306321E+04   0.147317E+02   0.351603E-01   0.111675E+03
   333   0.303215E+04   0.149112E+02   0.352912E-01   0.110867E+03
   334   0.300138E+04   0.150901E+02   0.354198E-01   0.110020E+03
   335   0.297074E+04   0.152668E+02   0.355498E-01   0.109137E+03
   336   0.294040E+04   0.154429E+02   0.356773E-01   0.108223E+03
   337   0.291035E+04   0.156182E+02   0.358063E-01   0.107264E+03
   338   0.288051E+04   0.157915E+02   0.359329E-01   0.106282E+03
   339   0.285104E+04   0.159648E+02   0.360609E-01   0.105262E+03
   340   0.282178E+04   0.161359E+02   0.361866E-01   0.104220E+03
   341   0.279274E+04   0.163050E+02   0.363138E-01   0.103132E+03
   342   0.276407E+04   0.164741E+02   0.364386E-01   0.102014E+03
   343   0.273568E+04   0.166403E+02   0.365649E-01   0.100866E+03
   344   0.270766E+04   0.168051E+02   0.366890E-01   0.996867E+02
   345   0.267986E+04   0.169678E+02   0.368146E-01   0.984774E+02
   346   0.265242E+04   0.171298E+02   0.369379E-01   0.972448E+02
   347   0.262527E+04   0.172889E+02   0.370629E-01   0.959745E+02
   348   0.259849E+04   0.174460E+02   0.371855E-01   0.946738E+02
   349   0.257200E+04   0.176016E+02   0.373099E-01   0.933426E+02
   350   0.254587E+04   0.177543E+02   0.374320E-01   0.919881E+02
