# row  PA_ERR      X0 X0_ERR      Y0 Y0_ERR     GRAD GRAD_ERR GRAD_R_ERR
#     degrees   pixel  pixel   pixel  pixel                             

    1   INDEF 1087.24  INDEF  778.56  INDEF    -506.    INDEF      INDEF
  315    0.86 1083.78   0.59  773.17   0.61    -1.07   0.0421     0.0392
  316    0.87 1083.50   0.60  772.77   0.62    -1.04   0.0406     0.0389
  317    0.83 1083.50   0.57  772.77   0.59    -1.07   0.0373     0.0347
  318    0.83 1083.50   0.57  772.77   0.60    -1.08   0.0358     0.0333
  319    0.86 1083.50   0.57  772.77   0.59    -1.06   0.0345     0.0325
  320    0.80 1084.59   0.55  774.88   0.58    -1.09   0.0362     0.0332
  321    0.80 1084.11   0.55  774.14   0.58    -1.05   0.0347      0.033
  322    0.82 1084.49   0.57  773.33   0.60    -1.08   0.0342     0.0316
  323    0.76 1083.55   0.53  773.95   0.55    -1.11   0.0336     0.0301
  324    0.79 1083.78   0.55  774.58   0.58    -1.08   0.0333     0.0309
  325    0.76 1083.78   0.55  774.58   0.57    -1.11   0.0337     0.0302
  326    0.80 1083.53   0.57  774.20   0.60    -1.03   0.0328     0.0317
  327    0.75 1083.88   0.55  773.97   0.58    -1.04   0.0317     0.0306
  328    0.81 1083.75   0.57  773.78   0.60   -0.999   0.0315     0.0316
  329    0.77 1083.41   0.58  774.03   0.61    -1.01   0.0312     0.0308
  330    0.85 1083.41   0.59  774.03   0.62    -1.01   0.0316     0.0312
  331    0.79 1083.64   0.57  772.76   0.59    -1.04   0.0309     0.0296
  332    0.77 1084.74   0.59  773.59   0.62    -1.01     0.03     0.0298
  333    0.88 1084.74   0.62  773.59   0.64   -0.993   0.0317     0.0319
  334    0.84 1084.74   0.59  773.59   0.63   -0.958   0.0392     0.0409
  335    0.85 1084.74   0.62  773.59   0.65    -0.93   0.0368     0.0396
  336    0.79 1084.17   0.61  771.32   0.65   -0.967   0.0314     0.0324
  337    0.92 1084.17   0.70  771.32   0.73   -0.904   0.0352     0.0389
  338    1.21 1084.38   0.91  771.21   0.97   -0.837   0.0593     0.0709
  339    1.27 1083.47   1.00  769.05   1.07   -0.941   0.0431     0.0458
  340    1.08 1083.15   0.91  768.46   0.97    -1.04   0.0346     0.0333
