# row  A4_ERR        B4  B4_ERR NDATA NFLAG NITER  STOP     A_BIG SAREA
#                                                                 pixel

    1   INDEF     INDEF   INDEF     1     0 INDEF INDEF     INDEF INDEF
  356 0.00218  -0.00709  0.0022  2054     0    11     0      1.57   2.0
  357 0.00224  -0.00614 0.00225  2055     0    10     0       1.5   2.0
  358 0.00221  -0.00678 0.00223  2061     0   100     2      1.49   2.0
  359 0.00214  -0.00631 0.00216  2074     0    11     0      1.36   2.0
  360 0.00214  -0.00736 0.00216  2080     0    10     0      1.27   2.0
  361 0.00207  -0.00454 0.00209  2086     0    15     0      1.36   2.0
  362 0.00203  -0.00755 0.00205  2097     0   100     2     0.855   2.0
  363 0.00209  -0.00511  0.0021  2102     0   100     2      1.28   2.0
  364 0.00214   -0.0107 0.00219  2108     0   100     2      2.06   2.0
  365 0.00211  -0.00462 0.00211  2114     0   100     2      1.76   2.0
  366 0.00227   -0.0125 0.00234  2103     0   100     2      1.41   2.0
  367 0.00233   -0.0163 0.00246  2109     0   100     2      1.31   2.0
  368  0.0024   -0.0164 0.00252  2115     0   100     2      1.33   2.0
  369 0.00294   -0.0236 0.00319  2120     0   100     2      1.67   2.0
  370 0.00639   -0.0271 0.00674  2126     0    12     0      1.31   2.0
  371 0.00547   -0.0351 0.00704  2132     0    81     0      2.29   2.0
  372 0.00446   -0.0309 0.00619  2138     0   100     2      3.45   2.0
  373 0.00317   -0.0215 0.00427  2143     0   100     2      4.27   2.0
  374 0.00327   -0.0246 0.00465  2149     0   100     2      3.58   2.0
  375 0.00461    -0.028 0.00582  2155     0   100     2       3.7   2.0
  376  0.0039   -0.0226 0.00524  2161     0   100     2      3.62   2.0
  377 0.00346   -0.0256 0.00531  2167     0   100     2      4.08   2.0
