# row  TMAG_C NPIX_E NPIX_C        A3  A3_ERR        B3  B3_ERR        A4
#                                                                        

    1   INDEF  INDEF  INDEF     INDEF   INDEF     INDEF   INDEF     INDEF
  191   -20.5 104391 113369   0.00208 0.00145  -0.00313 0.00145  -0.00269
  192   -20.5 105031 114553   0.00127 0.00142  -0.00182 0.00143  -0.00119
  193   -20.5 106047 115781   0.00346 0.00138  -0.00181 0.00139   -0.0025
  194   -20.5 107821 116965   7.84E-4 0.00138   -0.0025 0.00138   -0.0034
  195   -20.5 108955 118213   0.00113  0.0014   2.06E-4 0.00141  -0.00322
  196   -20.5 109721 119433   0.00153 0.00137   -0.0029 0.00137  -0.00332
  197   -20.5 110755 120649  -0.00138 0.00143  -0.00565 0.00144  -8.14E-4
  198   -20.5 111531 121905  -9.73E-4 0.00139  -0.00409  0.0014  -7.07E-4
  199   -20.5 112999 123121   2.92E-4  0.0014  -0.00477 0.00141  -0.00171
  200   -20.5 113745 124381   8.63E-4  0.0014  -0.00457 0.00141  -4.84E-4
  201   -20.5 115035 125629   0.00219 0.00141  -9.64E-4 0.00142   4.48E-4
  202   -20.5 116657 126909  -2.12E-4  0.0015  -0.00122 0.00151   0.00195
  203   -20.5 117461 128153   3.50E-4 0.00151   6.59E-4 0.00152   0.00124
  204   -20.5 118617 129393   5.99E-5 0.00146  -4.43E-5 0.00147   0.00131
  205   -20.5 119765 130721   3.77E-4 0.00155  -4.76E-4 0.00156  -6.87E-4
  206   -20.5 120785 132013  -0.00166 0.00156  -1.09E-4 0.00157  -0.00158
  207   -20.5 122391 133301  -1.95E-4 0.00155   0.00194 0.00156  -0.00499
  208   -20.5 123393 134565  -0.00147  0.0015    0.0028 0.00151  -0.00591
  209   -20.5 124069 135877  -0.00134 0.00155   0.00311 0.00155  -0.00475
  210   -20.5 125099 137193  -3.12E-4 0.00168   0.00446 0.00169  -0.00429
  211   -20.5 126765 138505   0.00212 0.00157    0.0011 0.00158  -0.00102
  212   -20.5 127697 139809   0.00366 0.00149  -0.00123  0.0015  -6.26E-4
  213   -20.5 128217 141165   0.00166 0.00145   0.00129 0.00145  -0.00177
  214   -20.6 129413 142493  -0.00198 0.00139   0.00106 0.00139  -0.00509
  215   -20.6 130649 143837  -0.00299  0.0014   0.00287 0.00141  -7.66E-4
  216   -20.6 130781 145189  -0.00225 0.00146   0.00405 0.00147  -0.00389
  217   -20.6 132031 146505  -0.00295 0.00151   8.08E-4 0.00151  -0.00254
  218   -20.6 133117 147889   0.00219  0.0014   5.38E-4 0.00141  -0.00262
  219   -20.6 134199 149273   0.00135 0.00149   3.16E-4 0.00149  -4.10E-4
  220   -20.6 134467 150629   4.38E-4 0.00156  -0.00361 0.00157  -0.00266
  221   -20.6 135053 152013   3.90E-4 0.00171  -0.00307 0.00172  -0.00198
  222   -20.6 136357 153421   0.00222 0.00166  -0.00367 0.00167   -0.0021
  223   -20.6 138303 154793   0.00278 0.00161  -0.00542 0.00162  -0.00371
  224   -20.6 140079 156209   0.00334 0.00165  -0.00371 0.00166    0.0022
  225   -20.6 141357 157585   4.20E-4 0.00168   -0.0075 0.00169  -0.00199
  226   -20.6 142347 159033   0.00245 0.00161  -0.00588 0.00163    -0.002
  227   -20.6 143851 160421   7.02E-4 0.00156  -0.00551 0.00157  -7.21E-4
  228   -20.6 145593 161837  -6.18E-5 0.00148  -0.00462 0.00149   0.00216
  229   -20.6 146759 163253   4.44E-4 0.00155   -0.0019 0.00156   0.00331
  230   -20.6 148053 164713   0.00168 0.00162   7.97E-4 0.00163   0.00311
  231   -20.6 149363 166209  -8.21E-4 0.00153   -0.0031 0.00153  -0.00151
  232   -20.6 150701 167601   0.00445  0.0015  -0.00115  0.0015   0.00139
  233   -20.6 151265 169049    0.0046 0.00151  -0.00296 0.00151   0.00288
  234   -20.6 153015 170501   0.00417  0.0016  -0.00616 0.00161   0.00233
