*******************************************************
GTC-OSIRIS-R500R spectra of A, B and G on 27 March 2014
*******************************************************
UNITS:				lambda in angstrom (A)
			flux in 10^{-17} ergs/cm^2/s/A
******************************************************* 
   	         flux
         -------------------
lambda     A     B      G
******************************
6882.597 3.923 5.538 2.096
6887.414 4.053 5.609 1.791
6892.230 3.940 5.460 1.857
6897.047 3.915 5.377 1.870
6901.863 3.920 5.524 1.740
6906.680 3.916 5.432 1.607
6911.497 3.932 5.523 1.544
6916.313 3.999 5.422 1.762
6921.130 3.916 5.340 1.834
6925.946 3.854 5.369 1.737
6930.763 3.823 5.320 1.859
6935.579 3.850 5.232 2.068
6940.396 3.825 5.280 1.912
6945.212 3.813 5.317 1.797
6950.029 3.765 5.224 2.018
6954.846 3.773 5.301 1.936
6959.662 3.808 5.300 1.797
6964.479 3.822 5.274 1.783
6969.295 3.805 5.228 1.955
6974.112 3.763 5.233 1.831
6978.928 3.845 5.265 1.884
6983.745 3.849 5.345 1.777
6988.562 3.851 5.287 1.745
6993.378 3.838 5.248 2.127
6998.195 3.869 5.202 2.060
7003.011 3.879 5.202 2.089
7007.828 3.871 5.128 2.304
7012.644 3.916 5.334 1.801
7017.461 3.815 5.153 1.985
7022.277 3.893 5.284 1.831
7027.094 3.894 5.208 1.826
7031.911 3.819 5.101 1.935
7036.727 3.839 5.194 1.775
7041.544 3.792 5.147 1.902
7046.360 3.813 5.193 1.743
7051.177 3.765 5.117 1.962
7055.993 3.928 5.112 2.029
7060.810 3.823 5.086 2.251
7065.627 3.860 5.114 2.201
7070.443 3.823 5.142 1.976
7075.260 3.795 5.156 1.946
7080.076 3.810 5.090 2.128
7084.893 3.769 5.161 1.950
7089.709 3.718 5.133 2.064
7094.526 3.730 5.061 2.066
7099.342 3.675 5.034 2.166
7104.159 3.658 4.957 2.291
7108.976 3.698 5.107 2.021
7113.792 3.772 5.136 1.674
7118.609 3.692 4.929 2.302
7123.425 3.739 4.983 2.113
7128.242 3.643 4.911 2.140
7133.058 3.694 5.000 2.107
7137.875 3.705 4.989 2.063
7142.691 3.748 4.932 2.004
7147.508 3.787 5.004 1.811
7152.325 3.749 4.876 2.121
7157.141 3.683 4.846 2.053
7161.958 3.703 4.762 1.970
7166.774 3.709 4.791 1.907
7171.591 3.609 4.640 2.097
7176.407 3.565 4.635 2.008
7181.224 3.578 4.605 1.937
7186.041 3.580 4.584 1.944
7190.857 3.503 4.610 2.026
7195.674 3.431 4.541 2.056
7200.490 3.471 4.549 2.039
